age,tool,use_case,hours_per_week,satisfaction_1to10,would_recommend
13,Microsoft Copilot,Math,0,7,False
18,Notion AI,Writing,4.6,6,True
15,GitHub Copilot,Math,1.8,8,False
21,Grammarly,Coding,0.5,5,True
13,Notion AI,Translation,3.6,6,True
19,Perplexity,Coding,0.3,5,False
20,Grammarly,Coding,4.7,6,True
15,Google Gemini,Math,6.0,9,True
15,Microsoft Copilot,Writing,5.5,7,True
17,Google Gemini,Image Generation,1.6,7,True
20,Notion AI,Coding,1.6,8,False
17,Grammarly,Research,3.6,8,True
20,Midjourney,Research,5.1,9,True
16,Perplexity,Research,3.5,8,True
14,Grammarly,Writing,4.7,8,True
21,ChatGPT,Homework Help,1.8,8,True
19,Grammarly,Research,4.1,6,True
18,ChatGPT,Research,3.7,10,True
13,GitHub Copilot,Image Generation,5.4,9,False
16,Perplexity,Coding,1.5,7,False
14,Midjourney,Image Generation,2.6,8,True
16,Microsoft Copilot,Writing,7.1,10,True
21,GitHub Copilot,Translation,3.4,8,True
15,Midjourney,Research,5.8,8,True
21,Midjourney,Writing,3.5,8,False
21,Google Gemini,Translation,3.0,9,True
19,Google Gemini,Homework Help,1.5,5,True
21,ChatGPT,Creative,2.2,5,True
16,Notion AI,Writing,0,7,True
15,Microsoft Copilot,Image Generation,6.0,7,True
15,Notion AI,Image Generation,3.6,10,True
20,Microsoft Copilot,Writing,4.6,6,False
18,Grammarly,Research,3.9,5,True
22,Midjourney,Writing,4.0,9,True
20,GitHub Copilot,Translation,6.1,8,True
14,Notion AI,Homework Help,5.3,9,True
17,Grammarly,Coding,3.9,8,True
13,Grammarly,Image Generation,6.1,7,True
22,Notion AI,Math,3.3,8,False
14,Google Gemini,Research,0,6,True
20,Microsoft Copilot,Research,3.4,10,False
17,Notion AI,Translation,2.5,7,True
19,Midjourney,Math,0.9,9,True
14,Notion AI,Image Generation,2.1,10,True
18,Grammarly,Coding,6.0,8,True
19,ChatGPT,Writing,2.5,6,False
17,GitHub Copilot,Translation,2.0,6,True
13,GitHub Copilot,Research,0,10,True
15,GitHub Copilot,Coding,4.2,6,False
20,Perplexity,Creative,2.6,10,True
15,Microsoft Copilot,Writing,4.5,7,False
14,Perplexity,Research,4.2,9,False
22,ChatGPT,Research,3.4,8,True
13,Microsoft Copilot,Translation,4.8,9,True
21,Grammarly,Homework Help,2.1,6,True
13,GitHub Copilot,Translation,3.4,6,True
18,Google Gemini,Research,2.6,6,True
17,Midjourney,Coding,5.4,10,True
14,Google Gemini,Math,3.9,7,True
14,Grammarly,Creative,7.1,6,True
21,Microsoft Copilot,Translation,2.8,8,True
15,Microsoft Copilot,Homework Help,5.7,8,True
15,GitHub Copilot,Translation,3.9,6,True
17,Grammarly,Image Generation,0.5,5,True
19,Google Gemini,Coding,2.4,7,True
16,Google Gemini,Creative,4.0,7,True
19,Grammarly,Coding,4.9,8,False
16,Notion AI,Image Generation,7.8,10,True
19,Google Gemini,Math,6.5,7,True
16,Perplexity,Homework Help,5.7,8,True
16,Notion AI,Image Generation,5.6,7,True
19,Grammarly,Research,4.6,5,False
20,GitHub Copilot,Homework Help,2.5,8,False
22,Notion AI,Image Generation,1.8,6,True
17,Google Gemini,Math,4.1,9,True
14,Notion AI,Image Generation,4.7,9,True
20,Grammarly,Math,2.6,7,False
14,Microsoft Copilot,Translation,1.3,7,True
14,Perplexity,Translation,3.5,8,True
19,Google Gemini,Creative,3.6,10,True
17,ChatGPT,Research,1.7,8,True
17,Grammarly,Image Generation,2.1,8,True
13,GitHub Copilot,Coding,3.4,10,True
22,Grammarly,Math,5.4,6,True
13,Midjourney,Translation,2.8,9,False
14,Midjourney,Writing,2.6,9,True
19,Perplexity,Research,6.6,6,True
21,Grammarly,Coding,1.1,9,True
20,Notion AI,Research,1.1,8,True
22,Microsoft Copilot,Writing,3.3,7,True
17,Midjourney,Image Generation,3.0,8,False
20,Google Gemini,Coding,2.3,8,True
19,Grammarly,Research,5.3,7,True
16,GitHub Copilot,Translation,3.1,5,True
22,Grammarly,Writing,1.6,6,True
13,Perplexity,Writing,2.0,9,True
17,Google Gemini,Image Generation,0.8,9,True
16,Google Gemini,Creative,2.0,9,True
17,Microsoft Copilot,Coding,2.4,5,True
20,Notion AI,Writing,4.9,7,True
21,Grammarly,Image Generation,3.4,7,False
20,Perplexity,Homework Help,5.2,6,True
20,Notion AI,Math,6.8,6,False
20,Perplexity,Image Generation,2.1,7,False
13,ChatGPT,Math,3.0,5,True
17,ChatGPT,Image Generation,1.7,6,True
16,GitHub Copilot,Math,6.1,7,False
14,Perplexity,Homework Help,5.4,9,False
15,Microsoft Copilot,Homework Help,0.3,5,True
16,ChatGPT,Homework Help,1.6,6,True
18,ChatGPT,Coding,3.7,8,True
20,Microsoft Copilot,Homework Help,2.6,10,True
18,Grammarly,Writing,3.6,10,True
17,Perplexity,Translation,5.9,8,True
17,Grammarly,Math,5.0,6,True
16,Midjourney,Research,2.8,6,True
21,GitHub Copilot,Math,2.1,5,True
17,Midjourney,Homework Help,5.7,9,False
14,Midjourney,Homework Help,6.1,8,True
17,GitHub Copilot,Homework Help,5.9,6,True
22,Midjourney,Creative,4.4,8,True
16,Midjourney,Creative,3.1,10,True
16,ChatGPT,Image Generation,5.9,6,True
14,Microsoft Copilot,Coding,5.5,8,True
19,Midjourney,Writing,4.2,8,True
21,Google Gemini,Coding,3.3,10,True
13,ChatGPT,Writing,4.8,9,True
19,Perplexity,Homework Help,2.8,10,False
18,Perplexity,Translation,3.6,7,True
14,Google Gemini,Research,5.4,7,True
20,Microsoft Copilot,Math,3.5,10,True
17,ChatGPT,Writing,9.1,6,True
17,Microsoft Copilot,Homework Help,3.8,7,True
17,Grammarly,Homework Help,5.7,9,False
13,Midjourney,Translation,3.6,8,True
22,Grammarly,Research,2.4,9,True
14,ChatGPT,Math,4.8,6,True
21,Microsoft Copilot,Image Generation,1.6,8,True
18,Midjourney,Creative,2.9,6,True
22,Notion AI,Math,3.3,9,True
15,Midjourney,Translation,0.4,10,False
14,ChatGPT,Coding,2.5,10,True
18,GitHub Copilot,Creative,3.9,7,True
15,ChatGPT,Image Generation,1.0,7,False
14,Perplexity,Homework Help,6.5,6,False
20,Perplexity,Translation,3.0,9,True
15,Grammarly,Creative,3.5,9,True
14,ChatGPT,Research,0.7,6,False
17,Google Gemini,Homework Help,3.8,9,True
13,Microsoft Copilot,Image Generation,5.8,6,True
20,Grammarly,Translation,4.2,8,True
13,ChatGPT,Image Generation,2.8,9,True
16,Midjourney,Homework Help,3.8,5,True
19,Notion AI,Writing,2.4,5,True
20,GitHub Copilot,Math,5.6,6,True
22,Grammarly,Writing,6.8,10,True
18,Notion AI,Translation,2.9,6,True
18,ChatGPT,Creative,3.9,7,False
17,Perplexity,Translation,6.5,8,True
20,Microsoft Copilot,Translation,1.8,8,True
21,Grammarly,Math,9.0,8,True
18,Grammarly,Image Generation,0,8,True
18,Google Gemini,Math,6.6,5,True
22,Notion AI,Creative,0,7,False
18,ChatGPT,Translation,0.5,7,True
20,ChatGPT,Creative,0.8,6,True
19,Perplexity,Translation,6.6,5,True
17,Notion AI,Math,4.4,5,True
19,Midjourney,Writing,3.0,7,False
15,Perplexity,Translation,3.5,5,True
15,ChatGPT,Writing,4.0,6,True
16,ChatGPT,Writing,4.6,9,True
17,GitHub Copilot,Math,7.6,6,True
19,Midjourney,Translation,3.0,10,False
17,Perplexity,Creative,1.6,5,True
14,Microsoft Copilot,Translation,2.3,7,True
21,Midjourney,Translation,4.0,6,True
17,Google Gemini,Math,6.3,9,True
18,Grammarly,Writing,5.6,10,True
14,Microsoft Copilot,Homework Help,5.9,9,True
14,Google Gemini,Image Generation,1.8,8,True
14,Google Gemini,Coding,0.6,7,True
19,Midjourney,Research,3.1,9,True
14,ChatGPT,Translation,3.7,10,False
18,Notion AI,Coding,1.9,10,True
13,ChatGPT,Translation,2.0,9,True
21,Midjourney,Creative,8.8,7,True
17,Microsoft Copilot,Coding,0.2,5,True
15,ChatGPT,Creative,5.1,6,True
19,Grammarly,Creative,0,9,False
20,Perplexity,Writing,3.3,7,True
18,Google Gemini,Homework Help,4.0,9,True
18,Perplexity,Image Generation,9.1,8,True
22,Notion AI,Homework Help,2.8,10,True
19,GitHub Copilot,Coding,4.0,5,False
21,GitHub Copilot,Research,5.4,8,True
18,Grammarly,Translation,2.4,8,True
19,Microsoft Copilot,Writing,3.2,8,True
14,Grammarly,Math,0.7,7,True
19,ChatGPT,Writing,2.3,8,True
13,ChatGPT,Writing,3.1,5,True
13,GitHub Copilot,Translation,1.7,9,True
19,Google Gemini,Translation,5.6,10,True
17,Midjourney,Translation,2.8,10,True
16,Midjourney,Image Generation,1.0,10,True
22,Google Gemini,Research,6.6,10,True
20,Perplexity,Homework Help,5.3,10,True
14,Google Gemini,Research,5.1,6,True
22,Grammarly,Writing,3.7,6,False
14,Perplexity,Homework Help,4.4,10,True
14,Microsoft Copilot,Image Generation,0.1,8,True
21,Perplexity,Homework Help,3.4,9,True
16,Microsoft Copilot,Writing,3.2,6,False
13,GitHub Copilot,Creative,0,9,True
16,Grammarly,Coding,1.6,9,False
17,Grammarly,Image Generation,2.0,5,True
13,GitHub Copilot,Writing,2.6,9,True
13,Microsoft Copilot,Creative,1.9,6,False
14,Perplexity,Homework Help,2.8,10,True
16,Google Gemini,Research,1.1,8,True
17,Midjourney,Creative,9.3,5,True
20,Microsoft Copilot,Translation,4.8,10,True
14,Perplexity,Research,4.3,9,False
19,Microsoft Copilot,Writing,7.9,5,False
18,Microsoft Copilot,Image Generation,1.6,7,True
14,Google Gemini,Math,1.8,8,False
13,Notion AI,Writing,4.5,5,True
17,ChatGPT,Image Generation,3.8,10,True
17,Grammarly,Research,0.6,6,False
16,Grammarly,Homework Help,5.9,10,True
14,Midjourney,Creative,3.4,9,True
22,Grammarly,Homework Help,6.2,9,False
22,Google Gemini,Creative,0.8,9,True
17,GitHub Copilot,Image Generation,3.4,6,True
20,Microsoft Copilot,Homework Help,3.1,7,True
14,Perplexity,Translation,5.0,8,True
17,ChatGPT,Creative,4.2,7,True
17,Notion AI,Translation,1.9,8,True
14,GitHub Copilot,Translation,4.1,9,True
21,Notion AI,Creative,4.4,8,True
13,Midjourney,Homework Help,3.5,8,True
17,Microsoft Copilot,Coding,9.1,6,True
14,Midjourney,Math,2.7,8,True
21,Midjourney,Research,0.8,8,True
15,Perplexity,Coding,5.0,6,False
14,Microsoft Copilot,Translation,3.5,5,True
21,Midjourney,Creative,3.6,8,False
16,Perplexity,Writing,2.2,5,True
14,Perplexity,Translation,4.0,10,False
19,Midjourney,Writing,5.7,6,True
22,Perplexity,Image Generation,4.8,6,False
13,Grammarly,Research,8.3,10,True
18,Microsoft Copilot,Math,4.6,5,True
17,Grammarly,Coding,3.1,10,False
21,Grammarly,Coding,0,9,True
15,Google Gemini,Image Generation,2.7,10,True
17,Microsoft Copilot,Homework Help,2.4,10,True
18,Grammarly,Research,4.2,7,False
17,Perplexity,Coding,3.8,10,False
13,Midjourney,Writing,1.3,7,False
16,ChatGPT,Homework Help,2.9,10,True
20,Midjourney,Coding,3.0,8,False
15,GitHub Copilot,Research,5.9,10,True
15,GitHub Copilot,Creative,3.6,8,True
22,ChatGPT,Image Generation,4.3,6,True
22,Notion AI,Coding,4.2,5,False
14,Microsoft Copilot,Image Generation,4.1,7,True
18,Microsoft Copilot,Homework Help,0,8,True
22,Google Gemini,Translation,6.2,6,False
22,Perplexity,Image Generation,6.9,9,True
14,Notion AI,Math,0.7,5,True
13,ChatGPT,Translation,6.9,7,True
13,Microsoft Copilot,Image Generation,2.9,10,True
16,Google Gemini,Math,3.8,6,True
20,Grammarly,Coding,4.0,6,True
19,Grammarly,Image Generation,3.6,7,True
20,Midjourney,Creative,4.9,10,True
14,GitHub Copilot,Translation,1.8,9,False
19,Midjourney,Homework Help,4.4,9,True
21,Microsoft Copilot,Research,3.1,8,False
20,Microsoft Copilot,Translation,3.9,9,True
13,Midjourney,Coding,2.7,5,False
15,Midjourney,Image Generation,4.0,8,True
21,Microsoft Copilot,Translation,3.6,6,True
15,Microsoft Copilot,Translation,2.7,8,True
17,Perplexity,Math,7.6,6,True
19,Google Gemini,Creative,0.6,5,True
18,Midjourney,Translation,6.6,10,True
17,Microsoft Copilot,Research,0,7,True
20,Notion AI,Writing,5.7,6,True
20,Notion AI,Coding,0.6,9,False
18,Grammarly,Writing,3.6,6,True
15,ChatGPT,Translation,1.8,6,True
22,Perplexity,Homework Help,2.3,8,True
20,Google Gemini,Math,6.3,7,True
21,Perplexity,Research,4.2,5,False
13,Google Gemini,Translation,2.2,9,True
15,Google Gemini,Coding,4.8,10,True
18,GitHub Copilot,Writing,3.5,5,True
17,Midjourney,Image Generation,4.4,9,True
13,Notion AI,Homework Help,1.2,7,True
18,Grammarly,Research,3.0,8,True
17,Perplexity,Translation,3.7,9,True
20,GitHub Copilot,Writing,1.3,7,True
15,ChatGPT,Creative,4.1,8,True
21,GitHub Copilot,Image Generation,5.9,10,True
13,Perplexity,Math,5.4,6,True
16,ChatGPT,Coding,2.2,7,True
21,Notion AI,Image Generation,0.1,9,True
14,Google Gemini,Research,3.0,10,True
15,GitHub Copilot,Math,0.6,10,True
22,Microsoft Copilot,Image Generation,3.8,7,False
20,Google Gemini,Homework Help,5.8,10,True
18,Notion AI,Research,1.3,7,False
21,Perplexity,Translation,1.7,6,False
16,Notion AI,Coding,4.1,6,True
13,Google Gemini,Creative,2.7,5,True
20,Microsoft Copilot,Creative,5.4,5,True
16,Notion AI,Image Generation,1.2,8,True
16,Microsoft Copilot,Creative,7.9,5,False
14,Perplexity,Coding,5.6,6,True
20,ChatGPT,Image Generation,0,5,True
19,Perplexity,Homework Help,1.3,10,True
16,Google Gemini,Math,2.8,9,True
20,Grammarly,Writing,1.4,5,False
13,Notion AI,Image Generation,3.6,8,True
13,Perplexity,Homework Help,4.8,7,True
19,Notion AI,Coding,4.0,9,False
14,ChatGPT,Translation,4.3,5,False
13,ChatGPT,Coding,0,5,True
15,Microsoft Copilot,Coding,4.5,6,True
22,ChatGPT,Translation,5.3,5,True
13,Google Gemini,Coding,3.8,5,True
22,Midjourney,Creative,0,10,True
13,Notion AI,Image Generation,1.3,8,True
13,Google Gemini,Creative,4.4,9,True
14,Notion AI,Research,4.8,10,False
14,Notion AI,Creative,1.3,6,True
22,Grammarly,Math,5.1,5,False
20,ChatGPT,Writing,5.0,7,True
17,Notion AI,Translation,1.0,10,True
15,Google Gemini,Writing,8.2,7,True
17,ChatGPT,Translation,1.9,9,True
18,ChatGPT,Writing,0,7,False
17,Microsoft Copilot,Math,4.6,6,True
20,Grammarly,Creative,8.6,9,True
14,Midjourney,Writing,3.9,5,True
22,Microsoft Copilot,Homework Help,3.5,6,False
21,Notion AI,Image Generation,0.6,8,True
21,Microsoft Copilot,Writing,5.0,9,True
21,ChatGPT,Image Generation,5.9,5,True
17,Notion AI,Research,2.0,5,True
19,Notion AI,Math,5.8,8,False
19,ChatGPT,Writing,1.0,10,True
19,GitHub Copilot,Coding,5.9,7,True
20,Google Gemini,Math,1.9,7,True
22,Grammarly,Creative,8.8,10,True
17,GitHub Copilot,Math,3.1,7,True
14,Midjourney,Image Generation,4.5,6,True
22,Midjourney,Writing,4.4,9,True
20,Midjourney,Writing,6.7,8,True
19,Grammarly,Creative,2.2,10,True
17,Microsoft Copilot,Image Generation,5.7,7,True
17,Grammarly,Creative,0.9,10,False
13,ChatGPT,Writing,1.1,6,True
18,GitHub Copilot,Translation,0.5,6,True
21,Microsoft Copilot,Research,4.5,7,True
16,Grammarly,Math,4.6,8,True
15,Microsoft Copilot,Math,4.9,10,True
22,Microsoft Copilot,Homework Help,0.4,6,True
22,ChatGPT,Coding,4.6,8,True
14,Google Gemini,Translation,7.0,10,True
13,Google Gemini,Creative,4.2,5,True
21,Google Gemini,Math,2.8,6,True
18,Midjourney,Creative,3.9,7,True
19,Grammarly,Homework Help,4.2,9,True
19,Midjourney,Image Generation,4.9,7,True
22,Microsoft Copilot,Coding,2.2,7,False
22,Google Gemini,Homework Help,6.1,7,True
13,ChatGPT,Writing,4.0,8,True
15,ChatGPT,Math,2.2,6,True
19,Midjourney,Homework Help,5.7,10,True
19,Midjourney,Writing,6.0,8,True
14,Google Gemini,Creative,0.9,6,False
13,Perplexity,Translation,3.9,8,True
17,Google Gemini,Creative,6.2,6,True
17,Microsoft Copilot,Research,5.4,7,True
14,GitHub Copilot,Research,3.9,9,True
21,Google Gemini,Math,0.4,6,True
22,Grammarly,Creative,3.6,5,True
17,Perplexity,Creative,3.6,7,True
18,Microsoft Copilot,Image Generation,7.0,6,True
18,Perplexity,Writing,4.9,7,True
17,ChatGPT,Creative,6.8,6,False
13,Google Gemini,Creative,1.7,5,False
20,Perplexity,Translation,1.4,7,True
22,ChatGPT,Translation,0.9,8,True
15,Notion AI,Writing,4.5,6,True
18,Midjourney,Homework Help,6.4,6,True
18,Midjourney,Translation,4.1,10,False
18,Notion AI,Research,0,10,True
14,Microsoft Copilot,Translation,4.5,6,True
21,Perplexity,Homework Help,9.4,10,True
14,Perplexity,Translation,9.3,5,True
16,Grammarly,Research,0,9,True
14,Grammarly,Coding,5.7,7,True
17,GitHub Copilot,Research,0,8,False
14,Midjourney,Translation,2.1,10,True
16,Grammarly,Coding,7.3,7,True
15,Grammarly,Math,1.2,6,True
20,Midjourney,Math,3.8,6,True
19,Google Gemini,Writing,2.2,5,True
22,Microsoft Copilot,Math,1.9,10,True
17,Microsoft Copilot,Image Generation,1.0,8,True
18,Midjourney,Math,1.6,5,True
20,Grammarly,Homework Help,0.5,8,True
22,Google Gemini,Writing,6.0,10,True
18,GitHub Copilot,Creative,3.4,5,True
22,Midjourney,Research,7.0,5,True
21,Grammarly,Creative,6.0,5,False
15,Google Gemini,Homework Help,1.1,5,True
19,Midjourney,Writing,5.4,6,True
14,Grammarly,Writing,5.3,8,True
19,Google Gemini,Research,5.8,10,True
20,Midjourney,Image Generation,6.1,9,True
18,GitHub Copilot,Creative,4.9,6,False
20,GitHub Copilot,Translation,4.8,8,True
20,GitHub Copilot,Coding,0.4,10,True
19,Grammarly,Coding,2.6,6,True
15,Grammarly,Research,3.5,6,True
16,ChatGPT,Translation,1.7,10,True
19,Notion AI,Homework Help,4.0,8,True
15,Grammarly,Homework Help,0,8,True
19,Grammarly,Homework Help,5.1,9,True
15,Notion AI,Coding,5.5,9,True
18,Midjourney,Writing,2.8,8,True
17,Perplexity,Creative,5.4,7,False
17,ChatGPT,Creative,1.3,6,True
21,GitHub Copilot,Research,2.0,8,False
13,Google Gemini,Writing,6.7,5,True
20,Google Gemini,Math,1.8,9,False
