age,gender,country,daily_screen_hours,primary_device,top_platform,creativity_score,collaboration_score
18,Male,India,5.4,Laptop,TikTok,4,9
13,Male,USA,3.9,Laptop,Discord,3,6
18,Non-binary,Mexico,3.4,Tablet,YouTube,5,9
15,Female,UK,6.7,Laptop,Khan Academy,4,4
16,Male,Germany,7.2,Smartphone,Roblox,4,9
13,Non-binary,Japan,3.1,Desktop,Khan Academy,6,4
13,Non-binary,Brazil,6.4,Laptop,TikTok,9,7
16,Non-binary,Germany,0.5,Laptop,Khan Academy,8,6
18,Female,USA,4.5,Laptop,Instagram,10,9
15,Non-binary,Mexico,4.6,Laptop,Khan Academy,3,6
19,Male,Germany,4.8,Desktop,Khan Academy,6,10
16,Non-binary,Canada,6.0,Laptop,Snapchat,5,6
18,Non-binary,Mexico,5.3,Desktop,Netflix,8,6
14,Non-binary,Canada,8.4,Smartphone,YouTube,4,5
18,Male,Australia,3.7,Desktop,Roblox,7,3
18,Non-binary,USA,4.3,Desktop,Snapchat,8,4
15,Female,UK,0.5,Tablet,WhatsApp,5,4
19,Non-binary,Japan,7.1,Desktop,ChatGPT,6,5
15,Male,Mexico,10.3,Smartphone,ChatGPT,8,10
13,Male,Germany,4.1,Tablet,Discord,3,6
17,Male,USA,5.0,Desktop,Instagram,5,10
17,Male,Japan,1.5,Desktop,ChatGPT,9,6
17,Non-binary,Brazil,5.0,Tablet,Roblox,10,4
14,Male,USA,3.3,Tablet,YouTube,6,6
13,Male,India,6.1,Tablet,TikTok,6,7
18,Female,Brazil,10.2,Desktop,Instagram,10,6
19,Female,Australia,5.9,TV,Khan Academy,9,9
16,Non-binary,India,6.4,Smartphone,YouTube,9,8
19,Male,Brazil,6.5,Laptop,Netflix,5,7
16,Male,USA,8.0,TV,WhatsApp,4,3
18,Non-binary,India,10.4,Laptop,Instagram,9,10
16,Male,Australia,4.5,Smartphone,Instagram,9,3
16,Female,Canada,4.8,Desktop,Roblox,5,6
15,Male,India,8.8,Desktop,WhatsApp,3,8
13,Male,Indonesia,0.6,Desktop,Instagram,3,4
19,Male,USA,6.2,Desktop,TikTok,6,9
13,Non-binary,Brazil,4.9,Smartphone,Netflix,8,7
14,Non-binary,Germany,5.2,Laptop,Snapchat,9,5
18,Non-binary,Japan,0.6,Smartphone,YouTube,10,4
13,Non-binary,Brazil,6.8,Desktop,Snapchat,5,8
13,Male,Germany,5.0,Desktop,Snapchat,3,7
18,Male,UK,7.8,Tablet,TikTok,4,5
15,Female,Indonesia,6.0,Tablet,WhatsApp,10,7
19,Male,USA,7.5,TV,Snapchat,3,3
15,Male,Japan,6.8,TV,WhatsApp,3,4
13,Non-binary,UK,7.5,Desktop,YouTube,8,5
16,Male,India,3.8,Smartphone,Khan Academy,6,6
18,Male,Germany,9.9,Desktop,Netflix,5,6
